#labels: pt_had_lower[1] pt_had_center[2] pt_had_upper[3] tot_scale01[4] tot_scale01_Err[5] tot_scale02[6] tot_scale02_Err[7] tot_scale03[8] tot_scale03_Err[9]
#neval: 18000000
#overflow:lower center upper 8.53786131156E+00 1.64540978351E+00 2.35018815422E+02 1.88809837811E+00 4.24100478274E+02 2.18252855139E+00 
1.00000000000E+00 1.50000000000E+00 2.00000000000E+00 0.00000000000E+00 0.00000000000E+00 3.64350466448E+04 5.25436574889E+02 2.19621638670E+05 3.77696938368E+02 
2.00000000000E+00 2.50000000000E+00 3.00000000000E+00 4.66374457169E+04 1.69524227679E+02 1.14054924639E+05 1.64401739195E+02 1.33648011913E+05 1.84480210354E+02 
3.00000000000E+00 3.50000000000E+00 4.00000000000E+00 6.35387479244E+04 1.13082094578E+02 6.79348892630E+04 1.17892179072E+02 6.31539559692E+04 1.09568962505E+02 
4.00000000000E+00 4.50000000000E+00 5.00000000000E+00 4.17399308605E+04 7.27148515317E+01 3.71366705207E+04 6.57586572246E+01 3.22514645067E+04 5.80143521631E+01 
5.00000000000E+00 5.50000000000E+00 6.00000000000E+00 2.55049459244E+04 5.17386837533E+01 2.11052421091E+04 4.30857036849E+01 1.78684395653E+04 3.89525006240E+01 
6.00000000000E+00 6.50000000000E+00 7.00000000000E+00 1.53080588896E+04 3.81708577530E+01 1.23361929442E+04 3.14077489882E+01 1.04125743957E+04 2.86926290973E+01 
7.00000000000E+00 7.50000000000E+00 8.00000000000E+00 9.20451922277E+03 2.64223343681E+01 7.42000120837E+03 2.21598694752E+01 6.35531848463E+03 2.08383305416E+01 
8.00000000000E+00 8.50000000000E+00 9.00000000000E+00 5.61477969769E+03 1.91838773628E+01 4.61185564339E+03 1.65678253796E+01 4.06034570290E+03 1.60758042509E+01 
9.00000000000E+00 9.50000000000E+00 1.00000000000E+01 3.47602618752E+03 1.45380200803E+01 2.94283740875E+03 1.33858585763E+01 2.69139786400E+03 1.36457258444E+01 
1.00000000000E+01 1.10000000000E+01 1.20000000000E+01 1.84497362069E+03 6.45158298203E+00 1.59295642117E+03 6.43285856503E+00 1.54900089590E+03 6.73256028268E+00 
1.20000000000E+01 1.30000000000E+01 1.40000000000E+01 7.74086099796E+02 3.94396142096E+00 7.49315982577E+02 4.21042332386E+00 8.08447658563E+02 4.59298765865E+00 
1.40000000000E+01 1.60000000000E+01 1.80000000000E+01 2.46196112253E+02 1.66254462645E+00 3.01509296711E+02 1.88692292285E+00 3.78621331796E+02 2.13290656597E+00 
1.80000000000E+01 2.10000000000E+01 2.40000000000E+01 4.21593057890E+01 7.12158736628E-01 9.52180868271E+01 8.19130784103E-01 1.46884793305E+02 9.35807234317E-01 
2.40000000000E+01 2.70000000000E+01 3.00000000000E+01 3.46536423108E+00 3.55701425695E-01 3.27239165151E+01 4.11262135784E-01 5.85329005439E+01 4.75230211691E-01 
#nx: 3
