#labels: xit_hadZ_lower[1] xit_hadZ_center[2] xit_hadZ_upper[3] tot_scale01[4] tot_scale01_Err[5] tot_scale02[6] tot_scale02_Err[7] tot_scale03[8] tot_scale03_Err[9]
#neval: 18000000
#overflow:lower center upper 3.78539019355E+01 1.98471208989E+01 1.03309132528E+03 2.35244204104E+02 4.02758099648E+03 1.55309094079E+02 
0.00000000000E+00 2.50000000000E-01 5.00000000000E-01 3.63861625323E+02 3.48540485249E+00 4.60379045839E+02 3.93889982489E+00 5.25954356501E+02 4.29637159206E+00 
5.00000000000E-01 7.50000000000E-01 1.00000000000E+00 2.10281567191E+03 1.40197795509E+01 2.96112528381E+03 1.62255340006E+01 3.60985446260E+03 1.82121225569E+01 
1.00000000000E+00 1.25000000000E+00 1.50000000000E+00 1.06367934475E+04 5.14359794868E+01 1.24894335687E+04 4.88094386558E+01 1.42744991044E+04 5.02483675032E+01 
1.50000000000E+00 1.75000000000E+00 2.00000000000E+00 5.91327619802E+04 1.41655796095E+02 5.12045924367E+04 1.19679750219E+02 4.85370248913E+04 1.08375688887E+02 
2.00000000000E+00 2.25000000000E+00 2.50000000000E+00 1.53390514073E+05 2.46477805280E+02 1.41254539053E+05 2.56538914748E+02 1.28025664379E+05 2.39392321228E+02 
2.50000000000E+00 2.75000000000E+00 3.00000000000E+00 1.56600567997E+05 2.15462384422E+02 2.32502317756E+05 3.00996889637E+02 2.53826938272E+05 3.76158382894E+02 
3.00000000000E+00 3.25000000000E+00 3.50000000000E+00 4.86296806461E+04 1.80340188102E+02 1.12702067511E+05 4.64904349461E+02 2.91117498898E+05 4.31148839104E+02 
3.50000000000E+00 3.75000000000E+00 4.00000000000E+00 6.13808829464E+03 1.50853691020E+02 2.22065815208E+04 4.74051417488E+02 1.51040287313E+05 3.31431102549E+02 
4.00000000000E+00 4.25000000000E+00 4.50000000000E+00 -2.79752315520E+03 1.17807938108E+02 2.47755923735E+04 4.46052801571E+02 6.79336197391E+04 3.01205325708E+02 
4.50000000000E+00 4.75000000000E+00 5.00000000000E+00 7.56638848571E+02 8.55565093311E+01 1.88730392466E+04 4.82800504651E+02 2.86175807049E+04 2.87105208245E+02 
#nx: 3
