#labels: pt_had_lower[1] pt_had_center[2] pt_had_upper[3] tot_scale01[4] tot_scale01_Err[5] tot_scale02[6] tot_scale02_Err[7] tot_scale03[8] tot_scale03_Err[9]
#neval: 480000
#overflow:lower center upper 2.47460584838E+03 1.93987821574E+01 2.20808491065E+03 1.71320584161E+01 1.99652465768E+03 1.53717623832E+01 
1.00000000000E+00 1.50000000000E+00 2.00000000000E+00 0.00000000000E+00 0.00000000000E+00 -2.87169872234E+03 2.63953085093E+02 1.66254075383E+04 2.34575170126E+02 
2.00000000000E+00 2.50000000000E+00 3.00000000000E+00 -3.65537537259E+03 1.52032098603E+02 1.75405300457E+04 1.85149291390E+02 3.34662464483E+04 3.30537630287E+02 
3.00000000000E+00 3.50000000000E+00 4.00000000000E+00 1.07854889389E+04 1.10787082393E+02 2.43703431134E+04 2.15058986892E+02 2.81376426851E+04 2.52413722828E+02 
4.00000000000E+00 4.50000000000E+00 5.00000000000E+00 1.60336321929E+04 1.38753484049E+02 2.24912178837E+04 1.89386176560E+02 2.27081390468E+04 1.93926515842E+02 
5.00000000000E+00 5.50000000000E+00 6.00000000000E+00 1.56520213712E+04 1.34248779899E+02 1.60025083914E+04 1.34936393322E+02 1.74585995106E+04 1.49224963482E+02 
6.00000000000E+00 6.50000000000E+00 7.00000000000E+00 1.40242115971E+04 1.23632262699E+02 1.32006182789E+04 1.14503190054E+02 1.36055961817E+04 1.18935703661E+02 
7.00000000000E+00 7.50000000000E+00 8.00000000000E+00 1.14504015084E+04 1.06586769434E+02 1.02512131501E+04 9.38146448504E+01 1.01833846187E+04 9.33305316251E+01 
8.00000000000E+00 8.50000000000E+00 9.00000000000E+00 9.68842792433E+03 9.59016970869E+01 8.38680638599E+03 8.12615379209E+01 8.12301400472E+03 7.82867348826E+01 
9.00000000000E+00 9.50000000000E+00 1.00000000000E+01 7.63971045581E+03 8.15973375084E+01 6.59139417971E+03 6.86558505331E+01 6.28299082840E+03 6.49499384019E+01 
1.00000000000E+01 1.10000000000E+01 1.20000000000E+01 5.07316114232E+03 4.15810047393E+01 4.77643654626E+03 3.79783501865E+01 4.48944452284E+03 3.53111482510E+01 
1.20000000000E+01 1.30000000000E+01 1.40000000000E+01 3.42761443217E+03 3.17707950278E+01 3.16925092830E+03 2.86126040217E+01 2.94406067911E+03 2.62610585882E+01 
1.40000000000E+01 1.60000000000E+01 1.80000000000E+01 1.99188597950E+03 1.53095255610E+01 1.81594611030E+03 1.36284158974E+01 1.67049777785E+03 1.23667953053E+01 
1.80000000000E+01 2.10000000000E+01 2.40000000000E+01 8.78741281311E+02 7.11596262616E+00 7.93684691933E+02 6.30442278628E+00 7.25024691851E+02 5.68692179393E+00 
2.40000000000E+01 2.70000000000E+01 3.00000000000E+01 3.83392451069E+02 4.06320046484E+00 3.43181272789E+02 3.58301547934E+00 3.11258737747E+02 3.21536091147E+00 
#nx: 3
