 FM grid loaded for the first time!
 *****************************************
 *  Reading FMNLOv1.0 table with parameters:
 *  grid= , binning= 
 *../grid/A210304377_pp_t10.fmg
 *../grid/2103-04377-t10.Bin
 *  Jun Gao, 2023.1.18
 *****************************************
      ID(1/x dx/dkv)                  zd                  zu        LO*{1,0.5,2}       NLO*{1,0.5,2}              NLO/LO
       1   0.00000E+00   5.00000E-01   6.93323E-02   6.93323E-02   6.93323E-02   8.18245E-02   7.59713E-02   8.76777E-02  1.180  1.096  1.265
       2   5.00000E-01   1.00000E+00   3.15216E-01   3.15216E-01   3.15216E-01   3.59884E-01   3.40580E-01   3.79188E-01  1.142  1.080  1.203
       3   1.00000E+00   1.50000E+00   7.60371E-01   7.60371E-01   7.60371E-01   8.92581E-01   8.53955E-01   9.31207E-01  1.174  1.123  1.225
       4   1.50000E+00   2.00000E+00   1.25616E+00   1.25616E+00   1.25616E+00   1.39562E+00   1.35752E+00   1.43373E+00  1.111  1.081  1.141
       5   2.00000E+00   2.50000E+00   1.61846E+00   1.61846E+00   1.61846E+00   1.59092E+00   1.58714E+00   1.59471E+00  0.983  0.981  0.985
       6   2.50000E+00   3.00000E+00   1.75110E+00   1.75110E+00   1.75110E+00   1.34220E+00   1.40770E+00   1.27669E+00  0.766  0.804  0.729
       7   3.00000E+00   3.50000E+00   1.65688E+00   1.65688E+00   1.65688E+00   6.36075E-01   7.87073E-01   4.85077E-01  0.384  0.475  0.293
       8   3.50000E+00   4.00000E+00   8.21284E-01   8.21284E-01   8.21284E-01   9.87462E-02   2.22996E-01  -2.55035E-02  0.120  0.272 -0.031
       9   4.00000E+00   4.50000E+00   2.25011E-01   2.25011E-01   2.25011E-01  -2.65854E-02   2.33951E-02  -7.65660E-02 -0.118  0.104 -0.340
      10   4.50000E+00   5.00000E+00   4.10679E-02   4.10679E-02   4.10679E-02  -1.91060E-02  -6.69493E-03  -3.15170E-02 -0.465 -0.163 -0.767
